SC0101F   ,,
,1,"Village (less 3 000)"
,2,"Small town (3 000 to 15 000)"
,3,"Town (15 000 to 100 000)"
,4,"City (100 000 to 1 000 000)"
,5,"Large city (more 1 000 000)"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
SC0301F   ,,
,1,"Public"
,2,"Private"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
yesnoF    ,,
,1,"Yes"
,2,"No"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
agreeF   ,,
,1,"Not at all"
,2,"Very little"
,3,"To some extent"
,4,"A lot"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
priorF    ,,
,1,"Prerequisite"
,2,"High priority"
,3,"Considered"
,4,"Not considered"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
disagrF   ,,
,1,"Strongly Agree"
,2,"Agree"
,3,"Disagree"
,4,"Strongly disagree"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
freqF     ,,
,1,"Never"
,2,"1 to 2 times a year"
,3,"3 to 5 times a year"
,4,"Monthly"
,5,"More once a month"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
SC1401F   ,,
,1,"40% or more"
,2,"more 20%  less 40%"
,3,"more 10%  less 20%"
,4,"Less than 10%"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
noyesF    ,,
,1,"No"
,2,"Yes for one"
,3,"Yes for 2 or more"
,4,"Not Applicable"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
classF    ,,
,1,"For all classes"
,2,"For some classes"
,3,"Not for any classes"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
tickF     ,,
,1,"Tick"
,2,"No Tick"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
SCHLTF    ,,
,1,"Private Independent"
,2,"Private government-dependent"
,3,"Public"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
ASSESSF   ,,
,1,"<20"
,2,"20-39"
,3,">40"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
SELECTF    ,,
,0,"Not considered"
,1,"At least one considered"
,2,"At least one high priority"
,3,"At least one pre-requiste"
,8,"Invalid"
,9,"Miss"
,7,"N/A";
abF        ,,
,1,"Not for any classes"
