column,key,value
SC0101F   ,1,Village (less 3 000)
SC0101F   ,2,Small town (3 000 to 15 000)
SC0101F   ,3,Town (15 000 to 100 000)
SC0101F   ,4,City (100 000 to 1 000 000)
SC0101F   ,5,Large city (more 1 000 000)
SC0101F   ,8,Invalid
SC0101F   ,9,Miss
SC0101F   ,7,N/A
SC0301F   ,1,Public
SC0301F   ,2,Private
SC0301F   ,8,Invalid
SC0301F   ,9,Miss
SC0301F   ,7,N/A
yesnoF    ,1,Yes
yesnoF    ,2,No
yesnoF    ,8,Invalid
yesnoF    ,9,Miss
yesnoF    ,7,N/A
agreeF   ,1,Not at all
agreeF   ,2,Very little
agreeF   ,3,To some extent
agreeF   ,4,A lot
agreeF   ,8,Invalid
agreeF   ,9,Miss
agreeF   ,7,N/A
priorF    ,1,Prerequisite
priorF    ,2,High priority
priorF    ,3,Considered
priorF    ,4,Not considered
priorF    ,8,Invalid
priorF    ,9,Miss
priorF    ,7,N/A
disagrF   ,1,Strongly Agree
disagrF   ,2,Agree
disagrF   ,3,Disagree
disagrF   ,4,Strongly disagree
disagrF   ,8,Invalid
disagrF   ,9,Miss
disagrF   ,7,N/A
freqF     ,1,Never
freqF     ,2,1 to 2 times a year
freqF     ,3,3 to 5 times a year
freqF     ,4,Monthly
freqF     ,5,More once a month
freqF     ,8,Invalid
freqF     ,9,Miss
freqF     ,7,N/A
SC1401F   ,1,40% or more
SC1401F   ,2,more 20%  less 40%
SC1401F   ,3,more 10%  less 20%
SC1401F   ,4,Less than 10%
SC1401F   ,8,Invalid
SC1401F   ,9,Miss
SC1401F   ,7,N/A
noyesF    ,1,No
noyesF    ,2,Yes for one
noyesF    ,3,Yes for 2 or more
noyesF    ,4,Not Applicable
noyesF    ,8,Invalid
noyesF    ,9,Miss
noyesF    ,7,N/A
classF    ,1,For all classes
classF    ,2,For some classes
classF    ,3,Not for any classes
classF    ,8,Invalid
classF    ,9,Miss
classF    ,7,N/A
tickF     ,1,Tick
tickF     ,2,No Tick
tickF     ,8,Invalid
tickF     ,9,Miss
tickF     ,7,N/A
SCHLTF    ,1,Private Independent
SCHLTF    ,2,Private government-dependent
SCHLTF    ,3,Public
SCHLTF    ,8,Invalid
SCHLTF    ,9,Miss
SCHLTF    ,7,N/A
ASSESSF   ,1,<20
ASSESSF   ,2,20-39
ASSESSF   ,3,>40
ASSESSF   ,8,Invalid
ASSESSF   ,9,Miss
ASSESSF   ,7,N/A
SELECTF    ,0,Not considered
SELECTF    ,1,At least one considered
SELECTF    ,2,At least one high priority
SELECTF    ,3,At least one pre-requiste
SELECTF    ,8,Invalid
SELECTF    ,9,Miss
SELECTF    ,7,N/A
abF        ,1,Not for any classes
abF        ,2,For some classes
abF        ,3,For all classes
abF        ,8,Invalid
abF        ,9,Miss
abF        ,7,N/A
03601,03602,Australia: NSW
03601,03603,Australia: VIC
03601,03604,Australia: QLD
03601,03605,Australia: SA
03601,03606,Australia: WA
03601,03607,Australia: TAS
03601,03608,Australia: NT
03601,04002,Austria: Hauptschule
03601,04003,Austria: Polytechn. Schule
03601,04005,Austria: Gymnasium
03601,04006,Austria: Realgymnasium
03601,04007,Austria: Oberstufenrealgymnasium
