column,key,value
FAMSTRU,3,Mixed
FAMSTRU,4,Other
FAMSTRU,8,Invalid
FAMSTRU,7,Not applicable
FAMSTRU,9,Missing
CNT,ALB,ALBANIA
CNT,ARG,ARGENTINA
CNT,BGR,BULGARIA
CNT,CHL,CHILE
CNT,HKG,HONK KONG
CNT,IDN,INDONESIA
CNT,ISR,ISRAEL
CNT,PER,PERU
CNT,ROM,ROMANIA
CNT,THA,THAILAND
CNT,MKD,MACEDONIA
CNT,AUS,AUSTRALIA
CNT,AUT,AUSTRIA
CNT,BEL,BELGIUM
CNT,BRA,BRAZIL
CNT,CAN,CANADA
CNT,CZE,CZECH REPUBLIC
CNT,DNK,DENMARK
CNT,FIN,FINLAND
CNT,FRA,FRANCE
CNT,DEU,GERMANY
CNT,GRC,GREECE
CNT,HUN,HUNGARY
CNT,ISL,ICELAND
CNT,IRL,IRELAND
CNT,ITA,ITALY
CNT,JPN,JAPAN
CNT,KOR,"KOREA, REPUBLIC OF"
CNT,LVA,LATVIA
CNT,LIE,LIECHTENSTEIN
CNT,LUX,LUXEMBOURG
CNT,MEX,MEXICO
CNT,NLD,NETHERLANDS
CNT,NZL,NEW ZEALAND
CNT,NOR,NORWAY
CNT,POL,POLAND
CNT,PRT,PORTUGAL
CNT,RUS,RUSSIAN FEDERATION
CNT,ESP,SPAIN
CNT,SWE,SWEDEN
CNT,CHE,SWITZERLAND
CNT,GBR,UNITED KINGDOM
CNT,USA,UNITED STATES
