column,key,value
STRATUM,ARG0102,ARG - stratum 02 : CABA
STRATUM,ARG0003,ARG - stratum 03 : NEA
STRATUM,ARG0004,ARG - stratum 04 : NOA
STRATUM,ARG0005,ARG - stratum 05 : Cuyo
STRATUM,ARG0006,ARG - stratum 06 : Patagonia
STRATUM,AUS0101,AUS - stratum 01 : ACT_Catholic
STRATUM,AUS0102,AUS - stratum 02 : ACT_Government
STRATUM,AUS0103,AUS - stratum 03 : ACT_Independent
STRATUM,AUS0204,AUS - stratum 04 : NSW_Catholic
STRATUM,AUS0205,AUS - stratum 05 : NSW_Government
STRATUM,AUS0206,AUS - stratum 06 : NSW_Independent
STRATUM,AUS0307,AUS - stratum 07 : VIC_Catholic
STRATUM,AUS0308,AUS - stratum 08 : VIC_Government
STRATUM,AUS0309,AUS - stratum 09 : VIC_Independent
STRATUM,AUS0410,AUS - stratum 10 : QLD_Catholic
STRATUM,AUS0411,AUS - stratum 11 : QLD_Government
STRATUM,AUS0412,AUS - stratum 12 : QLD_Independent
STRATUM,AUS0513,AUS - stratum 13 : SA_Catholic
STRATUM,AUS0514,AUS - stratum 14 : SA_Government
STRATUM,AUS0515,AUS - stratum 15 : SA_Independent
STRATUM,AUS0616,AUS - stratum 16 : WA_Catholic
STRATUM,AUS0617,AUS - stratum 17 : WA_Government
STRATUM,AUS0618,AUS - stratum 18 : WA_Independent
STRATUM,AUS0719,AUS - stratum 19 : TAS_Catholic
STRATUM,AUS0720,AUS - stratum 20 : TAS_Government
STRATUM,AUS0721,AUS - stratum 21 : TAS_Independent
STRATUM,AUS0822,AUS - stratum 22 : NT_Catholic
STRATUM,AUS0823,AUS - stratum 23 : NT_Government
STRATUM,AUS0824,AUS - stratum 24 : NT_Independent
STRATUM,AUT0001,AUT - stratum 01 : TYPE 1  Pflichtschulen
STRATUM,AUT0002,AUT - stratum 02 : TYPE 2  Polytechnische Schulen
STRATUM,AUT0003,AUT - stratum 03 : TYPE 3  AHS-Langform
STRATUM,AUT0004,AUT - stratum 04 : TYPE 4  AHS-Kurzform
STRATUM,AUT0005,AUT - stratum 05 : TYPE 5  Schulen mit Statut - Waldorfschulen
STRATUM,AUT0006,AUT - stratum 06 : TYPE 6  Schulen mit Statut - Sonstige
STRATUM,AUT0007,AUT - stratum 07 : TYPE 7  Berufsschulen kaufmännisch  and gewerblich
STRATUM,AUT0008,AUT - stratum 08 : TYPE 8  Berufsschulen landwirtschaftlich
STRATUM,AUT0009,AUT - stratum 09 : TYPE 9  BMS gewerblich
STRATUM,AUT0010,AUT - stratum 10 : TYPE 10  BMS kaufmännisch
STRATUM,AUT0011,AUT - stratum 11 : TYPE 11  BMS wirtschaftlich
STRATUM,AUT0012,AUT - stratum 12 : TYPE 12  BMS landwirtschaftlich
STRATUM,AUT0013,AUT - stratum 13 : TYPE 13  BHS gewerblich
STRATUM,AUT0014,AUT - stratum 14 : TYPE 14  BHS kaufmännisch
STRATUM,AUT0015,AUT - stratum 15 : TYPE 15  BHS wirtschaftlich
STRATUM,AUT0016,AUT - stratum 16 : TYPE 16  BHS landwirtschaftlich
STRATUM,AUT0017,AUT - stratum 17 : TYPE 17  BAKIP
STRATUM,BEL0101,BEL - stratum 01 : Flanders/Gen Ed only/private subsidized/ISCED2
STRATUM,BEL0102,BEL - stratum 02 : Flanders/Gen Ed only/private subsidized/ISCED3
STRATUM,BEL0103,BEL - stratum 03 : Flanders/Gen Ed only/private subsidized/Mixed ISCED
STRATUM,BEL0104,BEL - stratum 04 : Flanders/Gen Ed only/network comm. Schls/ISCED2
STRATUM,BEL0105,BEL - stratum 05 : Flanders/Gen Ed only/network comm. Schls/ISCED3
STRATUM,BEL0106,BEL - stratum 06 : Flanders/Gen Ed only/network comm. Schls/Mixed ISCED
STRATUM,BEL0107,BEL - stratum 07 : Flanders/Gen Ed and other type/private subsidized/ISCED2
STRATUM,BEL0108,BEL - stratum 08 : Flanders/Gen Ed and other type/private subsidized /ISCED3
STRATUM,BEL0109,BEL - stratum 09 : Flanders/Gen Ed and other type/private subsidized /Mixed ISCED
STRATUM,BEL0110,BEL - stratum 10 : Flanders/Gen Ed and other type/network comm. Schls/ISCED2
STRATUM,BEL0111,BEL - stratum 11 : Flanders/Gen Ed and other type/network comm. Schls/ISCED3
