column,key,value
SUBNATIO,79200,Turkey
SUBNATIO,82600,"United Kingdom (England, Wales & Northern Ireland"
SUBNATIO,82620,United Kingdom (Scotland)
SUBNATIO,84000,United States
SUBNATIO,85800,Uruguay
SUBNATIO,18800,Costa Rica
SUBNATIO,78400,Dubai
SUBNATIO,78420,ARE (ex DUBAI)
SUBNATIO,26800,Georgia   
SUBNATIO,45800,Malaysia  
SUBNATIO,47000,Malta     
SUBNATIO,48000,Mauritius 
SUBNATIO,49800,Republic of Moldova
SUBNATIO,35601,Himachal Pradesh-India
SUBNATIO,35602,Tamil Nadu-India
SUBNATIO,86201,Miranda-Venezuela  
OECD,0,Non-OECD
OECD,1,OECD  
SC0101F   ,1,Yes
SC0101F   ,2,No
SC0101F   ,8,Invalid
SC0101F   ,9,Miss
SC0102F   ,1,Yes
SC0102F   ,2,No
SC0102F   ,8,Invalid
SC0102F   ,9,Miss
SC0103F   ,1,Yes
SC0103F   ,2,No
SC0103F   ,8,Invalid
SC0103F   ,9,Miss
SC0104F   ,1,Yes
SC0104F   ,2,No
SC0104F   ,8,Invalid
SC0104F   ,9,Miss
SC0105F   ,1,Yes
SC0105F   ,2,No
SC0105F   ,8,Invalid
SC0105F   ,9,Miss
SC0106F   ,1,Yes
SC0106F   ,2,No
SC0106F   ,8,Invalid
SC0106F   ,9,Miss
SC0107F   ,1,Yes
SC0107F   ,2,No
SC0107F   ,8,Invalid
SC0107F   ,9,Miss
SC0108F   ,1,Yes
SC0108F   ,2,No
SC0108F   ,8,Invalid
SC0108F   ,9,Miss
SC0109F   ,1,Yes
SC0109F   ,2,No
SC0109F   ,8,Invalid
SC0109F   ,9,Miss
SC0110F   ,1,Yes
SC0110F   ,2,No
SC0110F   ,8,Invalid
SC0110F   ,9,Miss
SC0111F   ,1,Yes
SC0111F   ,2,No
SC0111F   ,8,Invalid
SC0111F   ,9,Miss
SC0112F   ,1,Yes
SC0112F   ,2,No
SC0112F   ,8,Invalid
SC0112F   ,9,Miss
SC0113F   ,1,Yes
SC0113F   ,2,No
SC0113F   ,8,Invalid
SC0113F   ,9,Miss
SC0114F   ,1,Yes
SC0114F   ,2,No
SC0114F   ,8,Invalid
SC0114F   ,9,Miss
SC0201F   ,1,Public
SC0201F   ,2,Private
SC0201F   ,8,Invalid
SC0201F   ,9,Miss
SC0401F   ,1,Village
SC0401F   ,2,Small Town
SC0401F   ,3,Town
SC0401F   ,4,City
SC0401F   ,5,Large City
SC0401F   ,8,Invalid
SC0401F   ,9,Miss
SC0501F   ,1,Two or More Schools
SC0501F   ,2,One Other
SC0501F   ,3,No Others
SC0501F   ,8,Invalid
SC0501F   ,9,Miss
SC0801F   ,1,60% or more
SC0801F   ,2,40% up to 60%
SC0801F   ,3,20% up to 40%
SC0801F   ,4,10% up to 20%
SC0801F   ,5,0% up to 10%
SC0801F   ,8,Invalid
SC0801F   ,9,Miss
SC1101F   ,1,Not at all
SC1101F   ,2,Very little
SC1101F   ,3,To some extent
SC1101F   ,4,A lot
SC1101F   ,8,Invalid
SC1101F   ,9,Miss
SC1102F   ,1,Not at all
SC1102F   ,2,Very little
SC1102F   ,3,To some extent
SC1102F   ,4,A lot
