col_names,begin,end,width,whole_places,frac_places
CNT,1,3,3,3,0
COUNTRY,4,6,3,3,0
OECD,7,7,1,1,0
SUBNATIO,8,12,5,5,0
SCHOOLID,13,17,5,5,0
StIDStd,18,22,5,5,0
ST01Q01,23,24,2,2,0
ST02Q01,25,26,2,2,0
ST03Q02,27,28,2,2,0
ST03Q03,29,32,4,4,0
ST04Q01,33,33,1,1,0
ST05Q01,34,34,1,1,0
ST06Q01,35,39,5,4,0
ST07Q01,40,40,1,1,0
ST07Q02,41,41,1,1,0
ST07Q03,42,42,1,1,0
ST08Q01,43,43,1,1,0
ST08Q02,44,44,1,1,0
ST08Q03,45,45,1,1,0
ST08Q04,46,46,1,1,0
ST08Q05,47,47,1,1,0
ST08Q06,48,48,1,1,0
ST09Q01,49,52,4,4,0
ST10Q01,53,53,1,1,0
ST11Q01,54,54,1,1,0
ST11Q02,55,55,1,1,0
ST11Q03,56,56,1,1,0
ST11Q04,57,57,1,1,0
ST12Q01,58,58,1,1,0
ST13Q01,59,62,4,4,0
ST14Q01,63,63,1,1,0
ST15Q01,64,64,1,1,0
ST15Q02,65,65,1,1,0
ST15Q03,66,66,1,1,0
ST15Q04,67,67,1,1,0
ST16Q01,68,68,1,1,0
ST17Q01,69,69,1,1,0
ST17Q02,70,70,1,1,0
ST17Q03,71,71,1,1,0
ST18Q01,72,76,5,4,0
ST19Q01,77,77,1,1,0
ST20Q01,78,78,1,1,0
ST20Q02,79,79,1,1,0
ST20Q03,80,80,1,1,0
ST20Q04,81,81,1,1,0
ST20Q05,82,82,1,1,0
ST20Q06,83,83,1,1,0
ST20Q07,84,84,1,1,0
ST20Q08,85,85,1,1,0
ST20Q09,86,86,1,1,0
ST20Q10,87,87,1,1,0
ST20Q11,88,88,1,1,0
ST20Q12,89,89,1,1,0
ST20Q13,90,90,1,1,0
ST20Q14,91,91,1,1,0
ST20Q15,92,97,6,6,0
ST20Q16,98,103,6,6,0
ST20Q17,104,109,6,6,0
ST21Q01,110,110,1,1,0
ST21Q02,111,111,1,1,0
ST21Q03,112,112,1,1,0
ST21Q04,113,113,1,1,0
ST21Q05,114,114,1,1,0
ST22Q01,115,115,1,1,0
