column,key,value
SUBNATIO,42800,Latvia                                                                                                  
SUBNATIO,43800,Liechtenstein                                                                                           
SUBNATIO,44000,Lithuania                                                                                               
SUBNATIO,44200,Luxembourg                                                                                              
SUBNATIO,44600,Macao-China                                                                                             
SUBNATIO,48400,Mexico                                                                                                  
SUBNATIO,49900,Montenegro                                                                                              
SUBNATIO,52800,Netherlands                                                                                             
SUBNATIO,55400,New Zealand                                                                                             
SUBNATIO,57800,Norway                                                                                                  
SUBNATIO,61600,Poland                                                                                                  
SUBNATIO,62000,Portugal                                                                                                
SUBNATIO,63400,Qatar                                                                                                   
SUBNATIO,64200,Romania                                                                                                 
SUBNATIO,64300,Russian Federation                                                                                      
SUBNATIO,68800,Serbia                                                                                                  
SUBNATIO,70300,Slovak Republic                                                                                         
SUBNATIO,70500,Slovenia                                                                                                
SUBNATIO,72401,Spain: Andalusia                                                                                         
SUBNATIO,72402,Spain: Aragon                                                                                            
SUBNATIO,72403,Spain: Asturias                                                                                          
SUBNATIO,72406,Spain: Cantabria                                                                                         
SUBNATIO,72407,Spain: Castile and Leon                                                                                  
SUBNATIO,72409,Spain: Catalonia                                                                                         
SUBNATIO,72411,Spain: Galicia                                                                                           
SUBNATIO,72412,Spain: La Rioja                                                                                          
SUBNATIO,72415,Spain: Navarre                                                                                           
SUBNATIO,72416,Spain: Basque Country                                                                                    
SUBNATIO,72499,The rest of Spain (not adjudicated)                                                                      
SUBNATIO,75200,Sweden                                                                                                  
SUBNATIO,75600,Switzerland                                                                                             
SUBNATIO,76400,Thailand                                                                                                
SUBNATIO,78800,Tunisia                                                                                                 
SUBNATIO,79200,Turkey                                                                                                  
SUBNATIO,82610,"United Kingdom: England, Wales & Northern Ireland                                                        "
SUBNATIO,82620,United Kingdom: Scotland                                                                                 
SUBNATIO,84000,United States                                                                                           
SUBNATIO,85800,Uruguay                                                                                                
STRATUM,03201,ARG: COD_PROV02
STRATUM,03202,ARG: COD_PROV05
STRATUM,03203,ARG: COD_PROV06
STRATUM,03204,ARG: COD_PROV10
STRATUM,03205,ARG: COD_PROV14
STRATUM,03206,ARG: COD_PROV18
STRATUM,03207,ARG: COD_PROV22
STRATUM,03208,ARG: COD_PROV26
STRATUM,03209,ARG: COD_PROV30
STRATUM,03210,ARG: COD_PROV34
STRATUM,03211,ARG: COD_PROV38
STRATUM,03212,ARG: COD_PROV42
STRATUM,03213,ARG: COD_PROV46
STRATUM,03214,ARG: COD_PROV50
STRATUM,03215,ARG: COD_PROV54
STRATUM,03216,ARG: COD_PROV58
STRATUM,03217,ARG: COD_PROV62
STRATUM,03218,ARG: COD_PROV66
STRATUM,03219,ARG: COD_PROV70
STRATUM,03220,ARG: COD_PROV74
STRATUM,03221,ARG: COD_PROV78
STRATUM,03222,ARG: COD_PROV82
STRATUM,03223,ARG: COD_PROV86
STRATUM,03224,ARG: COD_PROV90
STRATUM,03225,ARG: COD_PROV94
STRATUM,03226,ARG: Moderately Small schools
STRATUM,03227,ARG: Very Small schools
STRATUM,03601,AUS: ACT
STRATUM,03602,AUS: NSW
STRATUM,03603,AUS: NT
STRATUM,03604,AUS: QLD
STRATUM,03605,AUS: SA
STRATUM,03606,AUS: TAS
STRATUM,03607,AUS: VIC
STRATUM,03608,AUS: WA
STRATUM,04097,AUT: Stratum 97
STRATUM,03197,AZE: Stratum 97
STRATUM,05601,BEL: Stratum 01
STRATUM,05602,BEL: Stratum 02
STRATUM,05603,BEL: Stratum 03
STRATUM,05604,BEL: Stratum 04
STRATUM,05605,BEL: Stratum 05
STRATUM,05606,BEL: Stratum 06
STRATUM,05607,BEL: Stratum 07
STRATUM,05608,BEL: Stratum 08
STRATUM,05609,BEL: Stratum 09
STRATUM,05610,BEL: Stratum 10
STRATUM,05611,BEL: Stratum 11
STRATUM,05612,BEL: Stratum 12
STRATUM,05613,BEL: Stratum 13
STRATUM,05614,BEL: Stratum 14
STRATUM,05615,BEL: Stratum 15
STRATUM,05616,BEL: Stratum 16
STRATUM,05617,BEL: Stratum 17
STRATUM,10001,BGR: Stratum 01
STRATUM,10002,BGR: Stratum 02
STRATUM,10003,BGR: Stratum 03
STRATUM,10004,BGR: Stratum 04
STRATUM,10005,BGR: Stratum 05
STRATUM,10006,BGR: Stratum 06
STRATUM,10007,BGR: Stratum 07
STRATUM,10008,BGR: Stratum 08
STRATUM,10009,BGR: Stratum 09
STRATUM,10010,BGR: Stratum 10
STRATUM,10011,BGR: Stratum 11
STRATUM,10012,BGR: Stratum 12
STRATUM,10013,BGR: Stratum 13
STRATUM,07601,BRA: Stratum 01
STRATUM,07602,BRA: Stratum 02
STRATUM,07603,BRA: Stratum 03
STRATUM,07604,BRA: Stratum 04
STRATUM,07605,BRA: Stratum 05
STRATUM,07606,BRA: Stratum 06
STRATUM,07607,BRA: Stratum 07
STRATUM,07608,BRA: Stratum 08
STRATUM,07609,BRA: Stratum 09
STRATUM,07610,BRA: Stratum 10
STRATUM,07611,BRA: Stratum 11
STRATUM,07612,BRA: Stratum 12
STRATUM,07613,BRA: Stratum 13
STRATUM,07614,BRA: Stratum 14
STRATUM,07615,BRA: Stratum 15
STRATUM,07616,BRA: Stratum 16
STRATUM,07617,BRA: Stratum 17
STRATUM,07618,BRA: Stratum 18
STRATUM,07619,BRA: Stratum 19
STRATUM,07620,BRA: Stratum 20
STRATUM,07621,BRA: Stratum 21
STRATUM,07622,BRA: Stratum 22
STRATUM,07623,BRA: Stratum 23
STRATUM,07624,BRA: Stratum 24
STRATUM,07625,BRA: Stratum 25
STRATUM,07626,BRA: Stratum 26
STRATUM,07627,BRA: Stratum 27
STRATUM,07628,BRA: Stratum 28
STRATUM,07629,BRA: Stratum 29
STRATUM,07630,BRA: Stratum 30
STRATUM,12401,CAN: Stratum 01
STRATUM,12402,CAN: Stratum 02
STRATUM,12403,CAN: Stratum 03
STRATUM,12404,CAN: Stratum 04
STRATUM,12405,CAN: Stratum 05
STRATUM,12406,CAN: Stratum 06
STRATUM,12407,CAN: Stratum 07
STRATUM,12408,CAN: Stratum 08
STRATUM,12409,CAN: Stratum 09
STRATUM,12410,CAN: Stratum 10
STRATUM,12411,CAN: Stratum 11
STRATUM,12412,CAN: Stratum 12
STRATUM,12413,CAN: Stratum 13
STRATUM,12414,CAN: Stratum 14
STRATUM,12415,CAN: Stratum 15
STRATUM,12416,CAN: Stratum 16
STRATUM,12417,CAN: Stratum 17
STRATUM,12418,CAN: Stratum 18
STRATUM,12419,CAN: Stratum 19
STRATUM,12420,CAN: Stratum 20
STRATUM,12421,CAN: Stratum 21
STRATUM,12422,CAN: Stratum 22
STRATUM,12423,CAN: Stratum 23
STRATUM,12424,CAN: Stratum 24
STRATUM,12425,CAN: Stratum 25
STRATUM,12426,CAN: Stratum 26
STRATUM,12427,CAN: Stratum 27
STRATUM,12428,CAN: Stratum 28
STRATUM,12429,CAN: Stratum 29
STRATUM,12430,CAN: Stratum 30
STRATUM,12431,CAN: Stratum 31
STRATUM,12432,CAN: Stratum 32
STRATUM,12433,CAN: Stratum 33
STRATUM,12434,CAN: Stratum 34
STRATUM,12435,CAN: Stratum 35
STRATUM,12436,CAN: Stratum 36
STRATUM,12437,CAN: Stratum 37
STRATUM,12438,CAN: Stratum 38
STRATUM,12439,CAN: Stratum 39
STRATUM,12440,CAN: Stratum 40
STRATUM,12441,CAN: Stratum 41
STRATUM,12442,CAN: Stratum 42
STRATUM,12443,CAN: Stratum 43
STRATUM,12444,CAN: Stratum 44
STRATUM,75697,CHE: Stratum 97
STRATUM,15201,CHL: Stratum 01
STRATUM,15202,CHL: Stratum 02
STRATUM,15203,CHL: Stratum 03
STRATUM,15204,CHL: Stratum 04
STRATUM,15205,CHL: Stratum 05
STRATUM,15206,CHL: Stratum 06
STRATUM,15207,CHL: Stratum 07
STRATUM,15208,CHL: Stratum 08
STRATUM,15209,CHL: Stratum 09
STRATUM,15210,CHL: Stratum 10
STRATUM,15211,CHL: Stratum 11
STRATUM,15212,CHL: Stratum 12
STRATUM,15213,CHL: Stratum 13
