factor,levels
country,cntid
SUBNATIO,subnat
ST01Q01,NAMIS2
ST02Q02,NAMIS2
ST02Q03,NAMIS2
ST03Q01,ST0301
ST04Q01,TICK
ST04Q02,TICK
ST04Q03,TICK
ST04Q04,TICK
ST04Q05,TICK
ST05Q01,ST0501
ST06Q01,ST0501
ST07Q01,NAMIS4
ST09Q01,NAMIS4
ST11R01,ST11R01
ST12Q01,TICK
ST12Q02,TICK
ST12Q03,TICK
ST13R01,ST13R01
ST14Q01,TICK
ST14Q02,TICK
ST14Q03,TICK
ST15Q01,ST1501
ST15Q02,ST1501
ST15Q03,ST1501
ST15Q04,NAMIS3
ST16Q01,ST1601
ST17Q01,TICK
ST17Q02,TICK
ST17Q03,TICK
ST17Q04,TICK
ST17Q05,TICK
ST17Q06,TICK
ST17Q07,TICK
ST17Q08,TICK
ST17Q09,TICK
ST17Q10,TICK
ST17Q11,TICK
ST17Q12,TICK
ST17Q13,TICK
ST17Q14,S17Q14
ST17Q15,S17Q15
ST17Q16,S17Q16
ST19Q01,ST1901
ST20Q01,ST2001
ST21Q01,NAMIS3
ST22Q01,ST2201
ST22Q02,ST2201
ST22Q03,ST2201
ST23Q01,TICK
ST23Q02,TICK
ST23Q03,TICK
ST23Q04,TICK
ST23Q05,TICK
ST23Q06,TICK
ST24Q01,Agree
ST24Q02,Agree
ST24Q03,Agree
ST24Q04,Agree
ST25Q01,TICK
ST25Q02,TICK
ST25Q03,TICK
ST25Q04,TICK
ST25Q05,TICK
ST25Q06,TICK
ST26Q01,Agree
ST26Q02,Agree
ST26Q03,Agree
ST26Q04,Agree
ST26Q05,Agree
ST27Q01,Agree
ST27Q02,Agree
ST27Q03,Agree
ST27Q04,Agree
ST27Q05,Agree
ST27Q06,Agree
ST28Q01,ST2801
ST29Q01,NAMIS3
ST29Q02,NAMIS3
ST29Q03,NAMIS3
ST29Q04,NAMIS3
ST29Q05,NAMIS3
ST29Q06,NAMIS3
ST30Q01,Agree
ST30Q02,Agree
ST30Q03,Agree
ST30Q04,Agree
ST30Q05,Agree
ST30Q06,Agree
ST30Q07,Agree
ST30Q08,Agree
ST31Q01,Confid
ST31Q02,Confid
ST31Q03,Confid
ST31Q04,Confid
ST31Q05,Confid
ST31Q06,Confid
ST31Q07,Confid
ST31Q08,Confid
ST32Q01,Agree
ST32Q02,Agree
ST32Q03,Agree
ST32Q04,Agree
ST32Q05,Agree
ST32Q06,Agree
ST32Q07,Agree
ST32Q08,Agree
ST32Q09,Agree
ST32Q10,Agree
ST33Q01,NAMIS3
ST33Q02,NAMIS3
ST33Q03,NAMIS3
ST33Q04,NAMIS3
ST33Q05,NAMIS3
ST33Q06,NAMIS3
ST34Q01,Agree
ST34Q02,Agree
ST34Q03,Agree
ST34Q04,Agree
ST34Q05,Agree
ST34Q06,Agree
ST34Q07,Agree
ST34Q08,Agree
ST34Q09,Agree
ST34Q10,Agree
ST34Q11,Agree
ST34Q12,Agree
ST34Q13,Agree
ST34Q14,Agree
ST35Q02,NAMIS3
ST35Q03,NAMIS3
ST36Q01,NAMIS3
ST37Q01,Agree
ST37Q02,Agree
ST37Q03,Agree
ST37Q04,Agree
ST37Q05,Agree
ST37Q06,Agree
ST37Q07,Agree
ST37Q08,Agree
ST37Q09,Agree
ST37Q10,Agree
ST38Q01,Lesson
ST38Q02,Lesson
ST38Q03,Lesson
ST38Q04,Lesson
ST38Q05,Lesson
ST38Q06,Lesson
ST38Q07,Lesson
ST38Q08,Lesson
ST38Q09,Lesson
ST38Q10,Lesson
ST38Q11,Lesson
EC01Q01,NEVER
EC02Q01,NEVER
EC03Q01,Change
EC04Q01,Change
EC05Q01,YESNO
EC06Q01,EC0601
EC06Q02,EC0602
EC07Q01,NAMIS3
EC07Q02,EC0702
EC07Q03,NAMIS3
EC08Q01,NAMIS4
IC01Q01,YESNO
IC01Q02,YESNO
IC01Q03,YESNO
IC02Q01,YESNO
IC03Q01,IC0301
IC04Q01,Freq
IC04Q02,Freq
IC04Q03,Freq
IC05Q01,Freq
IC05Q02,Freq
IC05Q03,Freq
IC05Q04,Freq
IC05Q05,Freq
IC05Q06,Freq
IC05Q07,Freq
IC05Q08,Freq
IC05Q09,Freq
IC05Q10,Freq
IC05Q11,Freq
IC05Q12,Freq
IC06Q01,Do
IC06Q02,Do
IC06Q03,Do
IC06Q04,Do
IC06Q05,Do
IC06Q06,Do
IC06Q07,Do
IC06Q08,Do
IC06Q09,Do
IC06Q10,Do
IC06Q11,Do
IC06Q12,Do
IC06Q13,Do
IC06Q14,Do
IC06Q15,Do
IC06Q16,Do
IC06Q17,Do
IC06Q18,Do
IC06Q19,Do
IC06Q20,Do
IC06Q21,Do
IC06Q22,Do
IC06Q23,Do
IC07Q01,Agree
IC07Q02,Agree
IC07Q03,Agree
IC07Q04,Agree
IC08Q01,IC0801
IC09Q01,IC0901
ISCEDL,ISCEDL
ISCEDD,ISCEDD
ISCEDO,ISCEDO
ProgN,ProgN
ISO_S,ISO
ISO_M,ISO
ISO_F,ISO
immig,IMMIG
LANG,LANG
LANGN,LANGN
FAMSTRUC,FAMSTR
HISEI,HISEI
MSECATEG,WBCATEG
FSECATEG,WBCATEG
HSECATEG,WBCATEG
SSECATEG,WBCATEG
MISCED,MISCED
FISCED,MISCED
HISCED,MISCED
GRADE,GRADE
SISCED,SISCED
RMHMWK,RMHMWK
OECD,oecd
UH,UH
STRATUM,STR
